 PyTorch version: 2.5.0a0+b465a5843b.nv24.09
 CUDA version   : 12.6
 GPU cuda:(0)   : Tesla V100-PCIE-32GB 
--------------------------------------------------
Attn base time cost:
bs:8    | seqlen:128    | 0.24 ms / iter
bs:8    | seqlen:256    | 0.32 ms / iter
bs:8    | seqlen:512    | 1.02 ms / iter
bs:8    | seqlen:1024   | 3.84 ms / iter
bs:8    | seqlen:2048   | 19.68 ms / iter
bs:8    | seqlen:4096   | 67.27 ms / iter
bs:8	| seqlen:8192	| OOM
bs:16   | seqlen:128    | 0.25 ms / iter
bs:16   | seqlen:256    | 0.55 ms / iter
bs:16   | seqlen:512    | 1.89 ms / iter
bs:16   | seqlen:1024   | 7.49 ms / iter
bs:16   | seqlen:2048   | 39.54 ms / iter
bs:16   | seqlen:4096   | 134.45 ms / iter
bs:16	| seqlen:8192	| OOM

My Fixed Attn time cost:
bs:8	| seqlen:128	| 0.125 ms / iter
bs:8	| seqlen:256	| 0.340 ms / iter
bs:8	| seqlen:512	| 1.085 ms / iter
bs:8	| seqlen:1024	| 3.624 ms / iter
bs:8	| seqlen:2048	| 12.688 ms / iter
bs:8	| seqlen:4096	| 48.720 ms / iter
bs:8	| seqlen:8192	| 189.632 ms / iter
bs:16	| seqlen:128	| 0.189 ms / iter
bs:16	| seqlen:256	| 0.555 ms / iter
bs:16	| seqlen:512	| 1.858 ms / iter
bs:16	| seqlen:1024	| 6.693 ms / iter
bs:16	| seqlen:2048	| 25.156 ms / iter
bs:16	| seqlen:4096	| 96.956 ms / iter
bs:16	| seqlen:8192	| 378.337 ms / iter
